Scenario,Identifier,Mesh,Temp_at_time_C,Apparent_Age,mm,um
1,2p5Ms,10,598,393.720856,0,0
1,2p5Ms,10,597,393.716373,0.25,250
1,2p5Ms,10,596,393.702658,0.5,500
1,2p5Ms,10,594,393.678753,0.75,750
1,2p5Ms,10,591,393.642818,1,1000
1,2p5Ms,10,587,393.591605,1.25,1250
1,2p5Ms,10,582,393.519281,1.5,1500
1,2p5Ms,10,573,393.414394,1.75,1750
1,2p5Ms,10,560,393.250074,2,2000
1,2p5Ms,10,535,392.932264,2.25,2250
1,2p5Ms,10,,0,2.5,2500
1,2p5Ms,20,598,393.721568,0,0
1,2p5Ms,20,598,393.72046,0.125,125
1,2p5Ms,20,597,393.717118,0.25,250
1,2p5Ms,20,597,393.711489,0.375,375
1,2p5Ms,20,596,393.703479,0.5,500
1,2p5Ms,20,595,393.69295,0.625,625
1,2p5Ms,20,594,393.679712,0.75,750
1,2p5Ms,20,593,393.66351,0.875,875
1,2p5Ms,20,592,393.64401,1,1000
1,2p5Ms,20,590,393.620769,1.125,1125
1,2p5Ms,20,587,393.593198,1.25,1250
1,2p5Ms,20,585,393.560507,1.375,1375
1,2p5Ms,20,582,393.521604,1.5,1500
1,2p5Ms,20,578,393.474942,1.625,1625
1,2p5Ms,20,573,393.418236,1.75,1750
1,2p5Ms,20,568,393.347913,1.875,1875
1,2p5Ms,20,561,393.257953,2,2000
1,2p5Ms,20,551,393.136953,2.125,2125
1,2p5Ms,20,537,392.958749,2.25,2250
1,2p5Ms,20,511,392.632683,2.375,2375
1,2p5Ms,20,,0,2.5,2500
1,2p5Ms,40,598,393.721749,0,0
1,2p5Ms,40,598,393.721473,0.0625,62.5
1,2p5Ms,40,598,393.720643,0.125,125
1,2p5Ms,40,598,393.719256,0.1875,187.5
1,2p5Ms,40,597,393.717306,0.25,250
1,2p5Ms,40,597,393.714785,0.3125,312.5
1,2p5Ms,40,597,393.711684,0.375,375
1,2p5Ms,40,597,393.707989,0.4375,437.5
1,2p5Ms,40,596,393.703685,0.5,500
1,2p5Ms,40,596,393.698753,0.5625,562.5
1,2p5Ms,40,595,393.693171,0.625,625
1,2p5Ms,40,595,393.686914,0.6875,687.5
1,2p5Ms,40,594,393.679952,0.75,750
1,2p5Ms,40,594,393.672253,0.8125,812.5
1,2p5Ms,40,593,393.663777,0.875,875
1,2p5Ms,40,592,393.654479,0.9375,937.5
1,2p5Ms,40,592,393.64431,1,1000
1,2p5Ms,40,591,393.63321,1.0625,1062.5
1,2p5Ms,40,590,393.621112,1.125,1125
