Sample,Material,Distance_um,Age,error_1sigma
01A05AL,muscovite,0,326.9,0.6
01A05AL,muscovite,50,325.9,2.2
01A05AL,muscovite,100,328.7,1.7
01A05AL,muscovite,150,326.5,1.4
01A05AL,muscovite,200,330.0,1.2
01A05AL,muscovite,250,329.1,1.2
01A05AL,muscovite,300,327.9,1.3
01A05AL,muscovite,350,328.4,1.2
01A05AL,muscovite,400,328.4,1.2
01A05AS,muscovite,0,322.0,3.0
01A05AS,muscovite,105,340.8,2.9
01A05AS,muscovite,210,336.1,2.7
01A05AS,muscovite,315,340.4,3.3
01A05AS,muscovite,420,340.9,3.1
01A05AS,muscovite,525,351.1,3.1
01A05AS,muscovite,630,343.4,3.2
01A05AS,muscovite,735,345.9,3.2
01A05AS,muscovite,840,338.0,3.0
02A03L,muscovite,0,327.0,6.7
02A03L,muscovite,70,352.6,3.2
02A03L,muscovite,140,351.6,3.0
02A03L,muscovite,210,345.1,3.8
02A03L,muscovite,280,357.6,3.7
02A03L,muscovite,350,347.1,3.6
02A03S,muscovite,0,344.4,3.5
02A03S,muscovite,105,343.0,3.4
02A03S,muscovite,210,337.1,3.2
02A03S,muscovite,315,330.5,3.7
02A03S,muscovite,420,319.5,3.5
02A03S,muscovite,525,329.0,3.4
02A03S,muscovite,630,320.2,5.7
02A03S,muscovite,735,330.1,3.8
02A03S,muscovite,840,331.7,4.2
12A07L,muscovite,0,328.0,0.6
12A07L,muscovite,75,334.7,0.6
12A07L,muscovite,150,335.2,0.6
12A07L,muscovite,225,335.2,2.7
12A07L,muscovite,300,336.4,2.1
12A07L,muscovite,375,342.8,2.1
12A07L,muscovite,450,336.1,2.1
12A07L,muscovite,525,340.7,1.9
12A07L,muscovite,600,340.5,2.0
12A07L,muscovite,675,336.6,2.0
12A07L,muscovite,750,344.3,2.1
12A07S,muscovite,0,324.9,1.8
12A07S,muscovite,75,335.3,2.3
12A07S,muscovite,150,334.1,2.3
12A07S,muscovite,225,340.6,2.2
12A07S,muscovite,300,340.1,2.2
12A07S,muscovite,375,343.1,2.3
12A07S,muscovite,450,345.8,2.3
12A07S,muscovite,525,348.6,2.4
12A07S,muscovite,600,347.2,2.2
12A07S,muscovite,650,353.6,2.3
